event_date,facility_type,occupational_category_of_person_affected,aggressor,type_of_violence,primary_assault_description,primary_contributing_factors,severity_of_assault,emotional_and__or_psychological_impact,level_of_care_needed,response_action_taken,mha_facility_type,wpv_job_role,wpv_class_of_individual,wpv_event_type,wpv_type_of_violence_wpv,wpv_org_contributing_factors,wpv_psych_impact,injury_assessed_by,wpv_staff_immediate_action,event_month,event_year
2024-09-05,other,unknown,outpatient,verbal,saying threats verbally,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-05,other,unknown,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,unknown,other,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; threat of violence; unwelcome or offensive language/gestures",unknown,,unknown,unknown,notified security,,,,,,,,,,2024-09,2024
2024-09-05,other,unknown,outpatient,verbal,"profane, lewd or aggressive language; unwelcome or offensive language/gestures",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,"nurse (rn, lpn, lna)",outpatient,verbal,threat of violence,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,unknown,visitor,property damage/vandalism,aggression toward an inanimate object,unknown,,unknown,unknown,notified security,,,,,,,,,,2024-09,2024
2024-09-04,other,unknown,outpatient,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; screaming or yelling; threat of violence",unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,other,unknown,outpatient,verbal,unwelcome or offensive language/gestures,unknown,,unknown,unknown,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-05,bc,unknown,inpatient,verbal,"profane, lewd or aggressive language; unwelcome or offensive language/gestures",unknown,,unknown,unknown,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-06,med/surg/inpatient,unknown,inpatient,physical,intimidation,unknown,,unknown,unknown,called code gray; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,other,unknown,outpatient,verbal,"profane, lewd or aggressive language",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,other,unknown,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,other,unknown,inpatient,physical,grabbed,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-06,bc,unknown,inpatient,physical,hit w/ fist,unknown,severe,mild - upset / angry / scared / humiliated,unknown,called code gray; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-07,ed,unknown,inpatient,physical,scratched,unknown,moderate,none - no emotional and/or psychological impact,other (please specify),behavioral expectations reviewed; mechanical restraint; notified security; physical hold,,,,,,,,,,2024-09,2024
2024-09-05,other,allied health/technologist,visitor,verbal,"profane, lewd or aggressive language",unknown,,unknown,unknown,unknown,,,,,,,,,,2024-09,2024
2024-09-08,other,security,resident (ltc),physical,intimidation; pushed,n/a or unknown,,unknown,unknown,called 911; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-08,bc,unknown,inpatient,physical,assault w/ bodily fluids; assault w/ weapon; bitten; scratched; threat of violence,unknown,,unknown,unknown,behavioral expectations reviewed; mechanical restraint; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-09,other,unknown,outpatient,verbal,intimidation,unknown,,unknown,unknown,notified clinical physician resources; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-07,ed,unknown,outpatient,verbal,intimidation; screaming or yelling; threat of violence; unwelcome or offensive language/gestures,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-08,ed,unknown,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified security,,,,,,,,,,2024-09,2024
2024-09-07,other,unknown,visitor,verbal,"condescending; demanding; intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,med/surg/inpatient,unknown,inpatient,physical,threat of violence,unknown,moderate,mild - upset / angry / scared / humiliated,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified security; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-10,med/surg/inpatient,unknown,inpatient,physical,threw breakfast and bowl in the direction of the lna,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,other,unknown,outpatient,verbal,unwelcome or offensive language/gestures,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,other,unknown,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling; threat of violence",unknown,,unknown,unknown,called 911; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-10,other,allied health/technologist,inpatient,physical,slapped,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-10,bc,"nurse (rn, lpn, lna)",inpatient,physical,hit w/ fist; scratched,unknown,moderate,moderate - moderate emotional and/or psychological impact with no missed work.,ed,behavioral expectations reviewed; called code gray; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor; physical hold; seclusion,,,,,,,,,,2024-09,2024
2024-09-11,other,unknown,outpatient,verbal,"profane, lewd or aggressive language",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-11,other,unknown,inpatient,physical,hit w/ fist; scratched,unknown,moderate,none - no emotional and/or psychological impact,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-11,other,unknown,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-12,other,unknown,inpatient,physical,grabbed; hit w/ fist; scratched; slapped,unknown,moderate,none - no emotional and/or psychological impact,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-11,other,unknown,outpatient,verbal,intimidation; racial / cultural comments; screaming or yelling,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-12,other,unknown,inpatient,physical,slapped,unknown,other,none - no emotional and/or psychological impact,other (please specify),de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,other,administration/support services,outpatient,verbal,"intimidation; profane, lewd or aggressive language; threat of violence; unwelcome or offensive language/gestures",unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,med/surg/inpatient,unknown,inpatient,verbal,intimidation,unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,med/surg/inpatient,"nurse (rn, lpn, lna)",inpatient,verbal,intimidation,unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,rehabilitation/therapy services,other,verbal,intimidation,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,allied health/technologist,outpatient,verbal,intimidation; unwelcome or offensive language/gestures,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,unknown,outpatient,verbal,"intimidation; profane, lewd or aggressive language; weapon possession ; threatening lawsuit",unknown,,unknown,unknown,de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-13,other,unknown,outpatient,verbal,intimidation; threat of violence,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,unknown,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-11,other,unknown,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,bc,unknown,inpatient,physical,hit w/ fist,unknown,,unknown,unknown,called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-14,other,unknown,resident (ltc),verbal,screaming or yelling,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-15,bc,unknown,inpatient,property damage/vandalism,aggression toward an inanimate object,unknown,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called code gray,,,,,,,,,,2024-09,2024
2024-09-15,other,unknown,inpatient,physical,hit w/ fist,unknown,moderate,moderate - moderate emotional and/or psychological impact with no missed work.,ed,notified security,,,,,,,,,,2024-09,2024
2024-09-15,other,"nurse (rn, lpn, lna)",inpatient,verbal,"profane, lewd or aggressive language",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-10,other,unknown,outpatient,verbal,"profane, lewd or aggressive language",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-13,other,unknown,outpatient,verbal,intimidation; threat of violence,unknown,,unknown,unknown,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-16,other,allied health/technologist,other,verbal,intimidation; threat of violence,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-16,other,"nurse (rn, lpn, lna)",visitor,verbal,"profane, lewd or aggressive language; screaming or yelling",n/a or unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-16,other,unknown,inpatient,physical,hit w/ fist,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-06,other,unknown,outpatient,verbal,"intimidation; profane, lewd or aggressive language",unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-17,bc,unknown,inpatient,physical,scratched,unknown,moderate,none - no emotional and/or psychological impact,other (please specify),seclusion,,,,,,,,,,2024-09,2024
2024-09-17,other,unknown,outpatient,verbal,"intimidation; profane, lewd or aggressive language",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-17,other,unknown,outpatient,verbal,racial / cultural comments,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-17,bc,unknown,inpatient,physical,bitten,unknown,mild,mild - upset / angry / scared / humiliated,other (please specify),called code gray; mechanical restraint; notified clinical physician resources; physical hold,,,,,,,,,,2024-09,2024
2024-09-17,other,administration/support services,outpatient,verbal,screaming or yelling; unwelcome or offensive language/gestures,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-17,other,administration/support services,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",n/a or unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-18,other,"nurse (rn, lpn, lna)",outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-18,bc,unknown,inpatient,physical,bitten; hit w/ fist; pushed,unknown,,unknown,unknown,called code gray; de-escalation techniques utilized; mechanical restraint; notified clinical physician resources; notified security; physical hold,,,,,,,,,,2024-09,2024
2024-09-18,other,"nurse (rn, lpn, lna)",outpatient,physical,grabbed; masturbation,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-16,other,unknown,outpatient,verbal,unwelcome or offensive language/gestures,unknown,,unknown,unknown,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-19,other,unknown,outpatient,verbal,intimidation; screaming or yelling,unknown,,unknown,unknown,unknown,,,,,,,,,,2024-09,2024
2024-09-20,other,unknown,inpatient,physical,"attempt to hit with fist, was able to dodge; hit w/ fist",unknown,,unknown,unknown,notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-19,ed,unknown,outpatient,physical,hit w/ fist,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-19,other,unknown,outpatient,written/digital,"profane, lewd or aggressive language; stalking or terrorizing; unwelcome or offensive language/gestures",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-18,other,unknown,other,physical,bed,unknown,other,none - no emotional and/or psychological impact,urgent care,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,other,unknown,visitor,verbal,unwelcome or offensive language/gestures,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-17,other,unknown,outpatient,written/digital,intimidation,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-20,other,unknown,outpatient,verbal,intimidation,unknown,,unknown,unknown,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-17,other,"nurse (rn, lpn, lna)",outpatient,verbal,"intimidation; threat of violence; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-20,ed,unknown,other,verbal,"profane, lewd or aggressive language; threat of violence; unwelcome or offensive language/gestures",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-21,other,unknown,inpatient,physical,grabbed,unknown,moderate,mild - upset / angry / scared / humiliated,other (please specify),de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-22,bc,unknown,inpatient,physical,assault w/ bodily fluids; grabbed; kneed,unknown,mild,mild - upset / angry / scared / humiliated,other (please specify),called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-21,bc,unknown,inpatient,physical,hit w/ fist,unknown,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called 911; called code gray; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-21,bc,unknown,inpatient,physical,spitting,unknown,other,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called 911; called code gray; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-22,other,unknown,inpatient,physical,aggression toward an inanimate object; assault w/ bodily fluids; threat of violence,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-22,bc,unknown,inpatient,physical,grabbed; hair pulling; hit w/ fist; intimidation; kicked; pushed; scratched; slapped; threat of violence; unwelcome or offensive touching,unknown,mild,severe - significant emotional and/or psychological impact resulting in missed work.,other (please specify),called 911; called code gray; mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-22,bc,other,inpatient,physical,"bitten; exposure- bodily fluids, head injury, spit on; hit w/ fist; kicked; scratched; slapped",unknown,,unknown,unknown,unknown,,,,,,,,,,2024-09,2024
2024-09-22,scu,unknown,inpatient,physical,assault w/ bodily fluids,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,other,unknown,inpatient,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; screaming or yelling; threat of violence; unwelcome or offensive language/gestures",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,other,unknown,resident (ltc),physical,hit w/ fist,unknown,moderate,mild - upset / angry / scared / humiliated,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,other,unknown,resident (ltc),physical,hit w/ fist,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,ed,unknown,outpatient,physical,threat of violence,unknown,,unknown,unknown,called 911; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor; physical hold; seclusion,,,,,,,,,,2024-09,2024
2024-09-20,other,unknown,outpatient,written/digital,unwelcome or offensive language/gestures,unknown,,unknown,unknown,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-21,ed,unknown,other,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; racial / cultural comments; screaming or yelling; threat of violence; unwelcome or offensive language/gestures",unknown,,unknown,unknown,called 911; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-23,ed,unknown,outpatient,written/digital,stalking or terrorizing,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-23,other,unknown,inpatient,physical,grabbed; scratched; slapped,unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,scu,"nurse (rn, lpn, lna)",inpatient,physical,grabbed,n/a or unknown,,unknown,unknown,chemical restraint; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-24,scu,unknown,inpatient,physical,grabbed,unknown,other,moderate - moderate emotional and/or psychological impact with no missed work.,ed,behavioral expectations reviewed; de-escalation techniques utilized; mechanical restraint; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,med/surg/inpatient,unknown,inpatient,physical,threat of violence,unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,unknown,outpatient,verbal,screaming or yelling,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,unknown,inpatient,physical,unwelcome or offensive language/gestures,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,unknown,outpatient,verbal,intimidation; screaming or yelling; threat of violence,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-24,other,administration/support services,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-25,ed,unknown,other,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",unknown,,unknown,unknown,called 911; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-25,other,"nurse (rn, lpn, lna)",outpatient,physical,unwelcome or offensive touching,unknown,,unknown,unknown,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-20,other,physician/app,outpatient,written/digital,gender / sexist comments; intimidation; racial / cultural comments,n/a or unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,other,unknown,visitor,verbal,between mom/dad; screaming or yelling,unknown,,unknown,unknown,notified security,,,,,,,,,,2024-09,2024
2024-09-25,other,unknown,outpatient,physical,bitten,unknown,mild,none - no emotional and/or psychological impact,other (please specify),behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-25,other,"nurse (rn, lpn, lna)",outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",unknown,,unknown,unknown,de-escalation techniques utilized; notified clinical physician resources; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-25,other,allied health/technologist,outpatient,physical,hit w/ fist,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-26,other,allied health/technologist,inpatient,physical,grabbed; unwelcome or offensive touching,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-26,other,unknown,resident (ltc),verbal,screaming or yelling,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-27,other,unknown,inpatient,verbal,intimidation; screaming or yelling; unwelcome or offensive language/gestures,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-27,ed,unknown,outpatient,physical,hit w/ object,unknown,mild,mild - upset / angry / scared / humiliated,ed,mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-27,ed,unknown,inpatient,physical,scratched,unknown,moderate,none - no emotional and/or psychological impact,ed,chemical restraint; mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-18,other,allied health/technologist,outpatient,physical,grabbed; offensive sexual verbal interaction ; unwelcome or offensive touching,unknown,,unknown,unknown,unknown,,,,,,,,,,2024-09,2024
2024-09-25,other,unknown,outpatient,written/digital,"intimidation; profane, lewd or aggressive language; threat of violence",unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-27,other,unknown,inpatient,property damage/vandalism,screaming and threatening,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-27,other,unknown,visitor,verbal,verbal abuse,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-24,other,unknown,resident (ltc),verbal,"profane, lewd or aggressive language",unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-29,other,allied health/technologist,inpatient,physical,unwelcome or offensive touching,unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-29,other,unknown,resident (ltc),physical,assault w/ bodily fluids,unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,other,outpatient,verbal,intimidation; threat of violence,n/a or unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-30,other,allied health/technologist,outpatient,verbal,intimidation; screaming or yelling,n/a or unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-26,other,physician/app,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling",unknown,,unknown,unknown,unknown,,,,,,,,,,2024-09,2024
2024-10-01,other,unknown,outpatient,verbal,intimidation; unwelcome or offensive language/gestures,unknown,,unknown,unknown,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-10,2024
2024-10-01,ed,unknown,other,physical,hit w/ fist,unknown,severe,none - no emotional and/or psychological impact,ed,de-escalation techniques utilized; physical hold,,,,,,,,,,2024-10,2024
2024-09-20,other,unknown,inpatient,verbal,gender / sexist comments; unwelcome or offensive language/gestures,n/a or unknown,,unknown,unknown,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-28,other,unknown,inpatient,physical,attemptted to kiss; grabbed; unwelcome or offensive touching,n/a or unknown,,unknown,unknown,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-10-01,other,unknown,outpatient,physical,grabbed,unknown,moderate,none - no emotional and/or psychological impact,other (please specify),behavioral expectations reviewed,,,,,,,,,,2024-10,2024
2024-10-01,other,unknown,resident (ltc),verbal,getting into staff's vehicle without consent,unknown,,unknown,unknown,de-escalation techniques utilized,,,,,,,,,,2024-10,2024
2024-10-02,other,unknown,other,physical,no violence,unknown,other,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),notified supervisor,,,,,,,,,,2024-10,2024
2024-10-02,other,unknown,outpatient,verbal,intimidation; screaming or yelling; threat of violence; unwelcome or offensive language/gestures,unknown,,unknown,unknown,de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-10,2024
2024-10-02,other,unknown,inpatient,verbal,screaming or yelling,n/a or unknown,,unknown,unknown,notified supervisor,,,,,,,,,,2024-10,2024
2024-10-02,med/surg/inpatient,unknown,inpatient,verbal,"intimidation; profane, lewd or aggressive language; threat of violence",n/a or unknown,,unknown,unknown,behavioral expectations reviewed; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-10,2024
