event_date,facility_type,occupational_category_of_person_affected,aggressor,type_of_violence,primary_assault_description,primary_contributing_factors,severity_of_assault,emotional_and__or_psychological_impact,level_of_care_needed,response_action_taken,mha_facility_type,wpv_job_role,wpv_class_of_individual,wpv_event_type,wpv_type_of_violence_wpv,wpv_org_contributing_factors,wpv_psych_impact,injury_assessed_by,wpv_staff_immediate_action,event_month,event_year
2024-09-17,bc,<n/s>,inpatient,physical,bitten,<n/s>,mild,mild - upset / angry / scared / humiliated,other (please specify),called code gray; mechanical restraint; notified clinical physician resources; physical hold,,,,,,,,,,2024-09,2024
2024-09-17,other,administration/support services,outpatient,verbal,screaming or yelling; unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-17,other,administration/support services,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",n/a or unknown,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-18,other,"nurse (rn, lpn, lna)",outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-18,bc,<n/s>,inpatient,physical,bitten; hit w/ fist; pushed,<n/s>,,<n/s>,<n/s>,called code gray; de-escalation techniques utilized; mechanical restraint; notified clinical physician resources; notified security; physical hold,,,,,,,,,,2024-09,2024
2024-09-18,other,"nurse (rn, lpn, lna)",outpatient,physical,grabbed; masturbation,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-16,other,<n/s>,outpatient,verbal,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-19,other,<n/s>,outpatient,verbal,intimidation; screaming or yelling,<n/s>,,<n/s>,<n/s>,<n/s>,,,,,,,,,,2024-09,2024
2024-09-20,other,<n/s>,inpatient,physical,"attempt to hit with fist, was able to dodge; hit w/ fist",<n/s>,,<n/s>,<n/s>,notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-19,ed,<n/s>,outpatient,physical,hit w/ fist,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-19,other,<n/s>,outpatient,written/digital,"profane, lewd or aggressive language; stalking or terrorizing; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-18,other,<n/s>,other,physical,bed,<n/s>,other,none - no emotional and/or psychological impact,urgent care,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,other,<n/s>,visitor,verbal,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-17,other,<n/s>,outpatient,written/digital,intimidation,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-20,other,<n/s>,outpatient,verbal,intimidation,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-17,other,"nurse (rn, lpn, lna)",outpatient,verbal,"intimidation; threat of violence; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-20,ed,<n/s>,other,verbal,"profane, lewd or aggressive language; threat of violence; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-21,other,<n/s>,inpatient,physical,grabbed,<n/s>,moderate,mild - upset / angry / scared / humiliated,other (please specify),de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-22,bc,<n/s>,inpatient,physical,assault w/ bodily fluids; grabbed; kneed,<n/s>,mild,mild - upset / angry / scared / humiliated,other (please specify),called code gray; physical hold,,,,,,,,,,2024-09,2024
2024-09-21,bc,<n/s>,inpatient,physical,hit w/ fist,<n/s>,mild,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called 911; called code gray; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-21,bc,<n/s>,inpatient,physical,spitting,<n/s>,other,moderate - moderate emotional and/or psychological impact with no missed work.,other (please specify),called 911; called code gray; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-22,other,<n/s>,inpatient,physical,aggression toward an inanimate object; assault w/ bodily fluids; threat of violence,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-22,bc,<n/s>,inpatient,physical,grabbed; hair pulling; hit w/ fist; intimidation; kicked; pushed; scratched; slapped; threat of violence; unwelcome or offensive touching,<n/s>,mild,severe - significant emotional and/or psychological impact resulting in missed work.,other (please specify),called 911; called code gray; mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-22,bc,other,inpatient,physical,"bitten; exposure- bodily fluids, head injury, spit on; hit w/ fist; kicked; scratched; slapped",<n/s>,,<n/s>,<n/s>,<n/s>,,,,,,,,,,2024-09,2024
2024-09-22,scu,<n/s>,inpatient,physical,assault w/ bodily fluids,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,other,<n/s>,inpatient,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; screaming or yelling; threat of violence; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,other,<n/s>,resident (ltc),physical,hit w/ fist,<n/s>,moderate,mild - upset / angry / scared / humiliated,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,other,<n/s>,resident (ltc),physical,hit w/ fist,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-22,ed,<n/s>,outpatient,physical,threat of violence,<n/s>,,<n/s>,<n/s>,called 911; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor; physical hold; seclusion,,,,,,,,,,2024-09,2024
2024-09-20,other,<n/s>,outpatient,written/digital,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-21,ed,<n/s>,other,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; racial / cultural comments; screaming or yelling; threat of violence; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,called 911; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-23,ed,<n/s>,outpatient,written/digital,stalking or terrorizing,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-23,other,<n/s>,inpatient,physical,grabbed; scratched; slapped,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,scu,"nurse (rn, lpn, lna)",inpatient,physical,grabbed,n/a or unknown,,<n/s>,<n/s>,chemical restraint; notified supervisor; physical hold,,,,,,,,,,2024-09,2024
2024-09-24,scu,<n/s>,inpatient,physical,grabbed,<n/s>,other,moderate - moderate emotional and/or psychological impact with no missed work.,ed,behavioral expectations reviewed; de-escalation techniques utilized; mechanical restraint; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,med/surg/inpatient,<n/s>,inpatient,physical,threat of violence,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,<n/s>,outpatient,verbal,screaming or yelling,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,<n/s>,inpatient,physical,unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,<n/s>,outpatient,verbal,intimidation; screaming or yelling; threat of violence,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-24,other,administration/support services,outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-25,ed,<n/s>,other,verbal,"gender / sexist comments; intimidation; profane, lewd or aggressive language; screaming or yelling; unwelcome or offensive language/gestures",<n/s>,,<n/s>,<n/s>,called 911; de-escalation techniques utilized; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-25,other,"nurse (rn, lpn, lna)",outpatient,physical,unwelcome or offensive touching,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-20,other,physician/app,outpatient,written/digital,gender / sexist comments; intimidation; racial / cultural comments,n/a or unknown,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-12,other,<n/s>,visitor,verbal,between mom/dad; screaming or yelling,<n/s>,,<n/s>,<n/s>,notified security,,,,,,,,,,2024-09,2024
2024-09-25,other,<n/s>,outpatient,physical,bitten,<n/s>,mild,none - no emotional and/or psychological impact,other (please specify),behavioral expectations reviewed,,,,,,,,,,2024-09,2024
2024-09-25,other,"nurse (rn, lpn, lna)",outpatient,verbal,"profane, lewd or aggressive language; screaming or yelling",<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized; notified clinical physician resources; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-25,other,allied health/technologist,outpatient,physical,hit w/ fist,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-26,other,allied health/technologist,inpatient,physical,grabbed; unwelcome or offensive touching,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-26,other,<n/s>,resident (ltc),verbal,screaming or yelling,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-27,other,<n/s>,inpatient,verbal,intimidation; screaming or yelling; unwelcome or offensive language/gestures,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-27,ed,<n/s>,outpatient,physical,hit w/ object,<n/s>,mild,mild - upset / angry / scared / humiliated,ed,mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-27,ed,<n/s>,inpatient,physical,scratched,<n/s>,moderate,none - no emotional and/or psychological impact,ed,chemical restraint; mechanical restraint; physical hold,,,,,,,,,,2024-09,2024
2024-09-18,other,allied health/technologist,outpatient,physical,grabbed; offensive sexual verbal interaction ; unwelcome or offensive touching,<n/s>,,<n/s>,<n/s>,<n/s>,,,,,,,,,,2024-09,2024
2024-09-25,other,<n/s>,outpatient,written/digital,"intimidation; profane, lewd or aggressive language; threat of violence",<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources,,,,,,,,,,2024-09,2024
2024-09-27,other,<n/s>,inpatient,property damage/vandalism,screaming and threatening,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified clinical physician resources; notified security; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-27,other,<n/s>,visitor,verbal,verbal abuse,<n/s>,,<n/s>,<n/s>,de-escalation techniques utilized,,,,,,,,,,2024-09,2024
2024-09-24,other,<n/s>,resident (ltc),verbal,"profane, lewd or aggressive language",<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-29,other,allied health/technologist,inpatient,physical,unwelcome or offensive touching,<n/s>,,<n/s>,<n/s>,behavioral expectations reviewed; de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-29,other,<n/s>,resident (ltc),physical,assault w/ bodily fluids,<n/s>,,<n/s>,<n/s>,notified supervisor,,,,,,,,,,2024-09,2024
2024-09-24,other,other,outpatient,verbal,intimidation; threat of violence,n/a or unknown,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-30,other,allied health/technologist,outpatient,verbal,intimidation; screaming or yelling,n/a or unknown,,<n/s>,<n/s>,de-escalation techniques utilized; notified supervisor,,,,,,,,,,2024-09,2024
2024-09-26,other,physician/app,outpatient,verbal,"intimidation; profane, lewd or aggressive language; screaming or yelling",<n/s>,,<n/s>,<n/s>,<n/s>,,,,,,,,,,2024-09,2024
